rating,num_reviews,name,tags,url,ingredients,directions
9.3,8,B & B Stinger recipe,,http://www.drinksmixer.com/drink8370.html,"[(u'2 1/2', u'B & B\xae benedictine', 'oz'), (u'1/2', u'white creme de menthe', 'oz')]","Pour the benedictine and white creme de menthe into a mixing glass half-filled with ice cubes. Stir well, strain into a cocktail glass, and serve."
,,C & M recipe,,http://www.drinksmixer.com/drink1t5s156.html,"[(u'2', u'Malibu\xae coconut rum', 'oz'), (u'2', u'Stolichnaya\xae vanilla vodka', 'oz'), (u'4 - 5', u'Coca-Cola\xae', 'oz')]","Pour 2 oz. of malibu rum into a glass filled half way with ice,
Proceed to pour in 2 oz. of Stoli Vanilla into the glass.,
Fill the remainder of the glass with Coca Cola to the brim and enjoy!"
2.5,16,H-Bomb recipe,,http://www.drinksmixer.com/drink4199.html,"[(u'12', u'beer', 'oz'), (u'6', u'water', 'oz'), (u'1/8', u'alcohol', 'oz')]","Dump out six ounces of beer, add alcohol, fill up the rest of the beer can with water, mix and let settle."
,,Cabaret Martini recipe,,http://www.drinksmixer.com/drink8769.html,"[(u'3', u'gin', 'oz'), (u'1 1/2', u'Dubonnet\xae Rouge vermouth', 'oz'), (u'4', u'Angostura\xae bitters', 'dashes'), (u'4', u'Pernod\xae licorice liqueur', 'dashes')]","Pour the gin, Dubonnet, Angostura bitters and Pernod into a cocktail shaker half-filled with cracked ice. Shake well, and strain into a chilled cocktail glass. Garnish with a lime twist, and serve."
9.3,182,Daiquiri Cocktail recipe,,http://www.drinksmixer.com/drink737.html,"[(u'1 1/2', u'light rum', 'oz'), (u'1', u'limes', 'oz'), (u'1', u'powdered sugar', 'tsp')]","Shake all ingredients with ice, strain into a cocktail glass, and serve."
8.7,9,G Bomb recipe,,http://www.drinksmixer.com/drink3730.html,"[(None, u'1/2 shot Goldschlager\xae cinnamon schnapps', None), (None, u'1/2 shot Absolut\xae vodka', None)]",Chill both ingredients by placing the bottles in the freezer for at least 1 hour. You should also chill the shot glasses you will be using the same way. Pour both ingredients into a chilled shot glass and enjoy.
7.2,6,Cabernet Cobbler recipe,,http://www.drinksmixer.com/drink8770.html,"[(None, u'4 ozchilled Cabernet Sauvignon red wine', None), (None, u'1 tspfresh lemon juice', None), (u'1', u'superfine sugar', 'tsp'), (None, u'2 ozchilled soda water', None)]","Dissolve the sugar in the lemon juice and the water in a large wine glass. Add cracked ice and pour the Cabernet Sauvignon wine. Stir gently. Garnish with an orange slice, and serve."
10.0,2,Dammit PJ recipe,,http://www.drinksmixer.com/drinkn1m3323.html,"[(u'1', u'lemon rum', 'oz'), (u'1', u'lemon juice', 'oz'), (u'1', u'sugar', 'tsp')]","Fill a large shot glass half full of lemon rum, then fill the other half with lemon juice. Put a sugar cube in your mouth and bite down, then shoot, swish, and swallow! "
6.5,2,Dambuster recipe,,http://www.drinksmixer.com/drink3104.html,"[(u'3', u'rum', 'oz'), (u'1', u'Kahlua\xae coffee liqueur', 'oz'), (u'1', u'ginger ale', 'oz'), (None, u'  milk', None)]","In a highball glass with ice, pour three shots of Rum (preferably Bacardi) one shot of Kahlua, a shot of ginger ale and fill the rest of the glass with milk, (Homo or 2%, never SKIM!) Stir. That's It! Enjoy"
9.2,6,Dancing Dana recipe,,http://www.drinksmixer.com/drink10522.html,"[(None, u'1 canfrozen lemonade', None), (None, u'1/2 can Smirnoff\xae Raspberry Twist vodka', None), (None, u'1/2 can McGuinness\xae blue Curacao liqueur', None), (None, u'1 can ice cubes', None)]",Combine all ingredients in a blender and blend until smooth. Add water to taste if required. Rim a margarita glass with sugar if desired. Pour the blended drink mixture into the margarita glass and serve.
6.8,4,I Blow Up recipe,,http://www.drinksmixer.com/drinkuv15149.html,"[(u'1', u""Bailey's\xae Irish cream"", 'oz'), (u'1', u'Midori\xae melon liqueur', 'oz'), (u'1/2', u'grenadine syrup', 'oz')]",Pour in Melon at the bottom of the glass.  Layer Baily's Irish Creme and then cover in Grenadine.  
9.5,2,Damiana Golden recipe,,http://www.drinksmixer.com/drinkab14956.html,"[(u'1', u'Damiana\xae herbal liqueur', 'oz'), (u'1', u'vodka', 'oz'), (u'4', u'orange juice', 'oz')]",Shake or stir. Enjoy.
10.0,4,J C recipe,,http://www.drinksmixer.com/drink11757.html,"[(u'1', u'gin', 'oz'), (u'1', u""Rose's\xae lime juice"", 'dash'), (None, u'2 - 3 drops Angostura\xae bitters', None), (u'6 - 10', u'lemonade', 'oz')]","Add all ingredients to a highball glass over 3 - 4 ice cubes. Add a slice of lime, and serve."
8.6,9,Dancing Dutchman recipe,,http://www.drinksmixer.com/drink3112.html,"[(u'25', u'vodka', 'tsp'), (u'5', u'ice cubes', 'cups'), (u'5', u'strawberry juice', 'cups'), (u'1', u'white wine', 'cup'), (u'1', u'lime juice', 'cup'), (u'3', u'peach juice', 'cups'), (u'15', u'Scotch whisky', 'tsp'), (None, u'  rum', None)]","Mix fruit juices together in one bowl, place in blender with ice cubes. When slushy mixture is complete, stir in alcohol and shake until completly mixed. Place mixture in punchbowl, and float cherries in the bowl if desired."
,,Dancing Captain recipe,,http://www.drinksmixer.com/drink1t3s329.html,"[(u'1', u'Captain Morgan\xae spiced rum', 'oz'), (u'15', u'root beer', 'oz')]",Pour the captain into the glass and fill with root beer. 
7.3,4,Queen's Park Swizzle recipe,,http://www.drinksmixer.com/drink6271.html,"[(u'2', u'dark rum', 'oz'), (u'2', u'Angostura\xae bitters', 'dashes'), (u'1/2', u'sugar syrup', 'oz'), (None, u' juice of 1/2 limes', None), (None, u'4  mint', None), (u'2', u'soda water', 'oz')]","Squeeze lime juice into a highball glass. Add the shell, fill with crushed ice and add the mint. Pour in the rum, angostura bitters and sugar syrup. Swizzle until glass frosts. Add the soda, garnish with a sprig of mint, and serve with a straw."
,,Queen's Cousin recipe,,http://www.drinksmixer.com/drink8416.html,"[(u'1', u'vodka', 'oz'), (u'1/2', u'Grand Marnier\xae orange liqueur', 'oz'), (u'1/2', u'lime juice', 'oz'), (u'2', u'bitters', 'dashes'), (u'1', u'Cointreau\xae orange liqueur', 'tsp'), (u'3', u'sparkling white wine', 'oz')]","Pour the vodka, Grand Marnier, lime juice, bitters, Cointreau and wine into a cocktail shaker half-filled with ice cubes, and shake well. Strain into a large wine glass, and add the wine. Stir well, and serve."
7.8,4,Queen Soda recipe,,http://www.drinksmixer.com/drink6265.html,"[(u'2', u'butterscotch schnapps', 'oz'), (None, u'  cream soda', None)]",Stir and serve in a highball glass with three or four ice cubes.
7.0,1,Queen of Hearts recipe,,http://www.drinksmixer.com/drinkab14875.html,"[(u'2', u'amaretto almond liqueur', 'oz'), (u'2', u'Midori\xae melon liqueur', 'oz'), (u'4', u'Blue Curacao liqueur', 'oz'), (u'4', u'cranberry juice', 'oz')]",Add the melon liqueur and the amaretto to a highball glass first. Then add the blue curaco and cranberry juice. 
7.8,5,Quick-Sand recipe,,http://www.drinksmixer.com/drink6268.html,"[(None, u'25 ml black sambuca', None), (None, u'250 ml orange juice', None)]",Pour the orange juice (with the fruit pulp) over the sambuca in a highball glass.
