rating,num_reviews,name,tags,directions,ingredients
2.5,16,H-Bomb recipe,,"Dump out six ounces of beer, add alcohol, fill up the rest of the beer can with water, mix and let settle.","[(u'12', u'beer', 'oz'), (u'6', u'water', 'oz'), (u'1/8', u'alcohol', 'oz')]"
,,Hairy Jerry recipe,,Add dark rum to an ice-filled glass. Fill to the top with papaya juice.,"[(u'2 1/2', u""Myer's\xae dark rum"", 'oz'), (None, u' fill with papaya juice', None), (None, u'  ice', None)]"
5.5,2,Hairy Muff recipe,,"Stir all ingredients together with crushed ice in an old-fashioned glass, and serve.","[(u'1', u'Bundaberg\xae dark rum', 'oz'), (u'1', u'Johnnie Walker\xae Scotch whisky', 'oz'), (u'1', u'Smirnoff\xae vodka', 'oz'), (u'1/2', u'Coca-Cola\xae', 'oz'), (u'1/2', u'Red Bull\xae energy drink', 'oz')]"
9.0,25,Hairy Navel recipe,,"Stir all ingredients together in a highball glass almost filled with ice cubes, and serve.","[(u'3/4', u'vodka', 'oz'), (u'3/4', u'peach schnapps', 'oz'), (u'5', u'orange juice', 'oz')]"
4.0,3,Hairy Murry recipe,,"Shake all ingredients together in a cocktail shaker. Strain into a cocktail glass, and serve.","[(u'1', u'tequila', 'oz'), (u'1', u'Jagermeister\xae herbal liqueur', 'oz'), (u'1', u'triple sec', 'oz'), (u'1', u'pineapple juice', 'oz')]"
7.2,10,Hairy Lemon recipe,,"Rub salt onto the back of your hand. Bite the lemon, drink a good two mouthfuls of vodka, and lick the salt.","[(None, u'  salt', None), (None, u'  lemons', None), (None, u'  vodka', None)]"
9.6,5,Hairy Jerry recipe,,"Pour dark rum into an ice-filled collins glass. Fill with papaya juice, stir, and serve.","[(u'2 1/2', u""Myer's\xae dark rum"", 'oz'), (None, u'  papaya juice', None)]"
7.6,8,Dark Side of the Force recipe,,"Empty the 4 cans of frozen lemonade into a large container and pour in the Everclear, beer and Red Bull. Mix until all the lemonade has dissolved. Add blackcurrent syrup to taste (this will turn the mixture a dark purple colour). Serve on ice or chilled. ","[(None, u'1.75 liters Everclear\xae alcohol', None), (None, u'24 cans lager', None), (None, u'4 cans Red Bull\xae energy drink', None), (None, u'4 cansfrozen lemonade', None), (None, u'  blackcurrant syrup', None)]"
3.0,1,Dark Side recipe,,"Combine the coconut liqueur and Bacardi white rum in a shot glass, stirring to mix. Add just enough syrup to dissolve in it. The syrup should make the drink creamy but liquid enough to go down smoothly.","[(u'1/2', u'coconut liqueur', 'oz'), (u'1/2', u'Bacardi\xae white rum', 'oz'), (None, u'  chocolate syrup', None)]"
9.5,26,Ice Cream Genius recipe,,Blend all ingredients together in a blender.,"[(u'2', u'amaretto almond liqueur', 'oz'), (u'1/2', u'orange juice', 'cup'), (u'1/2', u'vanilla ice cream', 'cup')]"
