rating,num_reviews,name,tags,url,ingredients,directions
,,7,,http://www.goodcocktails.com/recipes/mixed_drink.php?drinkID=192,"[(u'2', u'Orange Vodka', 'oz.'), (None, u'  Orange Juice', None), (None, u'  Lemon-Lime Soda', None)]",Pour the orange vodka into a glass with ice. Fill it with half orange juice and half lemon-lime soda.
,,A Piece Of Ass,,http://www.goodcocktails.com/recipes/mixed_drink.php?drinkID=210,"[(u'1', u'Amaretto', 'oz.'), (u'1', u'Southern Comfort\xae', 'oz.'), (None, u'  Sweet & Sour Mix', None)]",Pour amaretto and Southern Comfort into a glass with ice. Fill it with sweet and sour mix.
,,A Night In Old Mandalay,,http://www.goodcocktails.com/recipes/mixed_drink.php?drinkID=2256,"[(u'1', u'Rum (Light)', 'oz.'), (u'1', u'Rum (A\xf1ejo)', 'oz.'), (u'1', u'Orange Juice', 'oz.'), (u'1/2', u'Lemon Juice', 'oz.'), (None, u'  Ginger Ale', None)]","Pour light rum, añejo rum, orange juice and lemon juice into a shaker with ice. Shake and pour into a glass."
,,A Day At The Beach,,http://www.goodcocktails.com/recipes/mixed_drink.php?drinkID=674,"[(u'1 1/2', u'Coconut Rum', 'oz.'), (u'1/2', u'Amaretto', 'oz.'), (None, u'  Orange Juice', None), (None, u'Splash of  Grenadine', None)]",Pour rum and amaretto into a glass with ice. Fill it with orange juice. Add grenadine on top.
,,8 Seconds,,http://www.goodcocktails.com/recipes/mixed_drink.php?drinkID=1703,"[(u'1/2', u'J\xe4germeister\xae', 'oz.'), (u'1/2', u'Goldschl\xe4ger\xae Cinnamon Schnapps', 'oz.'), (u'1/2', u'Peppermint Schnapps', 'oz.'), (u'1/2', u'Cinnamon Schnapps', 'oz.')]",Pour all ingredients into a shaker with ice. Shake and strain into a shot glass.
,,A Furlong Too Late,,http://www.goodcocktails.com/recipes/mixed_drink.php?drinkID=2254,"[(u'2', u'Rum (Light)', 'oz.'), (None, u'  Ginger Beer', None)]",Pour rum into a glass with ice. Fill it with ginger beer.
,,A Fuzzy Thing,,http://www.goodcocktails.com/recipes/mixed_drink.php?drinkID=1608,"[(u'1', u'Citrus Vodka', 'oz.'), (u'1', u'Peach Schnapps', 'oz.'), (u'1/2', u'Triple Sec', 'oz.'), (None, u'  Orange Juice', None), (None, u'  Pineapple Juice', None), (None, u'Splash of  Sweet & Sour Mix', None)]","Pour vodka, peach schnapps and triple sec into a glass with ice. Almost fill it with equal parts of orange juice and pineapple juice. Add the splash of sweet and sour mix."
,,911 Fuck Me Up,,http://www.goodcocktails.com/recipes/mixed_drink.php?drinkID=114,"[(u'1/2', u'Raspberry Liqueur', 'oz.'), (u'1/2', u'Coconut Rum', 'oz.'), (u'1/2', u'Black Currant Vodka', 'oz.'), (u'1/2', u'Melon Liqueur', 'oz.'), (u'1/2', u'Amaretto', 'oz.'), (u'1/2', u'Grand Marnier\xae Orange Liqueur', 'oz.'), (None, u'  Cranberry Juice', None), (None, u'  Pineapple Juice', None)]",Pour all the liqueurs into a glass with ice. Fill it with cranberry juice and pineapple juice.
,,57 Chevy #2,,http://www.goodcocktails.com/recipes/mixed_drink.php?drinkID=203,"[(u'1 1/2', u'Southern Comfort\xae', 'oz.'), (u'1/2', u'Vodka', 'oz.'), (u'1/2', u'Grand Marnier\xae Orange Liqueur', 'oz.'), (u'1', u'Pineapple Juice', 'oz.')]",Pour all ingredients into a shaker with ice. Shake and strain into a chilled martini glass.
,,747,,http://www.goodcocktails.com/recipes/mixed_drink.php?drinkID=182,"[(u'1/2', u'Coffee Liqueur', 'oz.'), (u'1/2', u'Hazelnut Liqueur', 'oz.'), (u'1/2', u'Irish Cream', 'oz.')]",Pour in layers the coffee liqueur then the hazelnut liqueur and finally the Irish cream in a shot glass.
,,24 Karat Nightmare,,http://www.goodcocktails.com/recipes/mixed_drink.php?drinkID=1266,"[(u'1', u'Goldschl\xe4ger\xae Cinnamon Schnapps', 'oz.'), (u'1', u'After Shock\xae Cinnamon Liqueur', 'oz.')]",Combine both ingredients into shot glass.
,,Acid Cookie,,http://www.goodcocktails.com/recipes/mixed_drink.php?drinkID=1384,"[(u'1/2', u'Peppermint Schnapps', 'oz.'), (u'1/2', u'Irish Cream', 'oz.'), (u'1/2', u'Butterscotch Schnapps', 'oz.'), (u'1/2', u'Rum (151-Proof)', 'oz.'), (None, u'Splash of  Cream / Half & Half', None)]",Pour all ingredients into a shaker with ice. Shake and strain into a shot glass.
,,57 Chevy,,http://www.goodcocktails.com/recipes/mixed_drink.php?drinkID=181,"[(u'1/2', u'Amaretto', 'oz.'), (u'1/2', u'Grand Marnier\xae Orange Liqueur', 'oz.'), (u'1/2', u'Southern Comfort\xae', 'oz.'), (u'1/2', u'Vodka', 'oz.'), (u'1', u'Pineapple Juice', 'oz.'), (u'1', u'Orange Juice', 'oz.'), (None, u'Dash of  Grenadine', None)]",Pour all ingredients into a shaker with ice. Shake and strain into a chilled martini glass.
,,Adam,,http://www.goodcocktails.com/recipes/mixed_drink.php?drinkID=2253,"[(u'2', u'Rum (Dark)', 'oz.'), (u'1', u'Lemon Juice', 'oz.'), (None, u'Splash of  Grenadine', None)]",Pour all ingredients into a shaker with ice. Shake and strain into a chilled martini glass.
