rating,num_reviews,name,tags,url,ingredients,directions
,,Agave Kiss,"Chambord,Creme de Cacao,double cream,Holidays,silver tequila,Tequila,THIS WEEK'S DRINK,Valentine's Day Cocktails",http://www.drinkoftheweek.com/drink_recipes/agave-kiss-by-herradura/,"[(u'2', u'Tequila Herradura silver', 'oz'), (u'\xbd', u'chambord', 'oz'), (u'1', u'white cr\xe8me de cacao', 'oz'), (u'1', u'double cream', 'oz')]","In a shaker with ice, add Herradura tequila, white crème de cacao, double cream and chambord. Shake for 15 seconds. Pour into a chilled cocktail glass, rimmed with white chocolate, add a spear of fresh raspberries, and serve."
,,After Dark,"coffee liqueur,Halloween,ice,Liqueurs,simple cocktails,soda,Tia Maria",http://www.drinkoftheweek.com/drink_recipes/after-dark/,"[(u'2', u'Tia Maria coffee liqueur', 'oz'), (None, u'Cola', None)]","Pour Tia Maria into an old-fashioned glass filled with ice, fill with cola and mix."
,,AFC Paloma,"AFC,Events,football,football drinks,grapefruit soda,Herradura,lemon,parties,Super Bowl,Tequila",http://www.drinkoftheweek.com/drink_recipes/afc-herradura-paloma/,"[(u'2', u'Tequila Herradura Silver', 'oz'), (u'5', u'grapefruit soda (or juice)', 'oz'), (u'1', u'Lemon juice and salt', 'oz')]","In a big ball glass, put the ice and Tequila Herradura. Add salt, lemon juice and grapefruit soda (or juice)."
,,Admiral,"Bourbon,dry vermouth,lemon,lemon juice,Lemon twist,orange",http://www.drinkoftheweek.com/drink_recipes/admiral/,"[(u'1', u'bourbon', 'oz'), (u'1', u'dry vermouth', 'oz'), (u'\xbd', u'lemon juice', 'oz'), (None, u'Lemon twist', None)]","Combine all the ingredients in a shaker filled with ice, and strain into a chilled cocktail or old fashioned glass. Garnish with the orange slice."
,,Alabama Slammer,"Amaretto,July 4th Drinks,lemon,shot glass,Shots,Southern Comfort",http://www.drinkoftheweek.com/drink_recipes/alabama-slammer/,"[(u'1', u'Southern Comfort', 'oz'), (u'1', u'amaretto bitters', 'oz'), (u'\xbd', u'sloe gin', 'oz'), (u'\xbd', u'lemon juice (preferably fresh)', 'oz')]","Combine Southern Comfort, amaretto, and sloe gin in a shaker with ice. Serve over ice in a rocks glass or straight up in a large shot glass."
,,2-Point Play,"Absolut vodka,Apple,apple schnapps,appletini,DeKuyper,football drinks,Labor Day Drinks,martini,sour apple schnapps,Super Bowl,Vodka",http://www.drinkoftheweek.com/drink_recipes/2-point-play-by-dekuyper/,"[(u'1', u'DeKuyper Pucker sour-apple schnapps', 'part'), (u'1', u'Absolut vodka', 'part')]",Pour ingredients into a cocktail shaker with ice. Shake and strain into a chilled martini glass. Garnish with an apple wedge.
,,Agave Kiss,"Chambord,Chocolate Liqueur,Cocktail glass,cream,Creme de Cacao,double cream,raspberry,Tequila,Valentine's Day,Valentine's Day Cocktails",http://www.drinkoftheweek.com/drink_recipes/agave-kiss/,"[(u'2', u'Tequila Herradura silver tequila', 'oz'), (u'1', u'white cr\xe8me de cacao', 'oz'), (u'1', u'double cream', 'oz'), (u'\xbd', u'Chambord', 'oz')]","In a shaker with ice, add Herradura tequila, white crème de cacao, double cream and Chambord. Shake for 15 seconds. Pour into a chilled cocktail glass, rimmed with white chocolate, add a spear of fresh raspberries, and serve."
,,After Dark #2,"Belvedere,fruit juice,ginger,ginger syrup,Halloween,HBO,lemon juice,Tru Blood,True Blood,Vodka",http://www.drinkoftheweek.com/drink_recipes/belvedere-after-dark/,,
,,Açai Blackberry Cooler,"360 Organic Vodka,acai,Acai Blackberry Cooler,Acai Blackberry Syrup,Collins glass,Felicia’s Speakeasy,ginger ale,gingerale,Mixology Monday,recipes,Sonoma Syrup,sparkling,Vodka",http://www.drinkoftheweek.com/drink_recipes/mixology-monday-acai-blackberry-cooler/,"[(u'1 \xbd', u'Vodka (we used 360 Organic Vodka)', 'oz'), (u'\xbc', u'a\xe7ai blackberry syrup', 'oz'), (None, u'Ginger ale\n', None), (None, u'Crushed ice', None)]","In a shaker filled with ice, combine vodka and açai blackberry syrup. Shake well and pour into an chilled Collins glass. Fill with more crushed ice and top with ginger ale."
,,Absolut Wonder,"absolut,Chocolate Liqueur,christmas,holiday,Kahlua,Tia Maria,vanilla,vanilla vodka,Vodka,white chocolate liqueur",http://www.drinkoftheweek.com/drink_recipes/absolut-wonder/,"[(u'3', u'Absolut Vanilla vodka', 'oz'), (u'1', u'white chocolate liqueur', 'oz')]",Combine in a shaker over ice. Shake well and strain into a chilled cocktail glass. Garnish with a cherry. 
,,Absinthe Irish,"absinthe,cherry,Cointreau,Le Tourment Vert,Melon Liqueur,Midori,pineapple,pineapple juice,recipe,red bull,St. Patrick's Day Drinks,sweet and sour",http://www.drinkoftheweek.com/drink_recipes/absinthe-irish/,"[(u'1 \xbd', u'Tourment absinthe', 'oz'), (u'\xbd', u'Cointreau', 'oz'), (u'\xbd', u'Midori', 'oz'), (u'1/3', u'pineapple juice', 'oz'), (u'1/3', u'sweet and sour', 'oz'), (u'1/3', u'Red Bull', 'oz')]",Shake well in a shaker filled with ice and strain into a chilled cocktail glass. Garnish with a cherry.
,,Absolut Pleasure,"absolut citron,absolut mandarin,Absolut vodka,lemon lime soda,Summer Cocktails,Summer Coolers,Valentine's Day Cocktails,Vodka",http://www.drinkoftheweek.com/drink_recipes/absolut-pleasure/,"[(u'1', u'Absolut Citron', 'part'), (u'1', u'Absolut Mandrin', 'part'), (u'2', u'strawberry-infused simple syrup', 'parts'), (None, u'Splash of Sprite\n', None), (None, u'Splash of sour mix', None)]","Shake Absolut Citron, Absolut Mandrin, simple syrup and sour in shaker with ice. Strain over ice in a rocks glass, add a splash of Sprite on top."
,,Absolut Relief,"Absolut vodka,orange juice,raspberry liqueur,Summer Cocktails,Summer Coolers",http://www.drinkoftheweek.com/drink_recipes/absolut-relief-2/,"[(u'2', u'Absolut Mandrin', 'parts'), (u'1', u'fresh blood orange juice', 'part'), (u'1', u'cranberry juice', 'part'), (u'1', u'raspberry liqueur', 'part')]",Mix all ingredients in shaker with ice; shake vigorously. Strain into cocktail glass and garnish a slice of blood orange.
