rating,num_reviews,name,tags,directions,ingredients
,,007,,Pour the orange vodka into a glass with ice. Fill it with half orange juice and half lemon-lime soda.,"[(u'2', u'Orange Vodka', 'oz.'), (None, u'  Orange Juice', None), (None, u'  Lemon-Lime Soda', None)]"
,,Agincourt,,Pour all ingredients into a shaker with ice. Shake and strain into a chilled martini glass.,"[(u'1', u'Vermouth (Sweet)', 'oz.'), (u'1', u'Vermouth (Dry)', 'oz.'), (u'1/2', u'Amaretto', 'oz.'), (None, u'Splash of  Lemon Juice', None)]"
,,After Eight,,Pour in layers the coffee liqueur then the white crème de menthe liqueur and finally the Irish cream in a shot glass.,"[(u'1/2', u'Coffee Liqueur', 'oz.'), (u'1/2', u'Cr\xe8me de Menthe (White)', 'oz.'), (u'1/2', u'Irish Cream', 'oz.')]"
,,After Sex,,Pour vodka and banana liqueur into a glass with ice. Almost fill it with orange juice. Add the float of grenadine.,"[(u'1 1/2', u'Vodka', 'oz.'), (u'1/2', u'Banana Liqueur', 'oz.'), (None, u'  Orange Juice', None), (None, u'Float of  Grenadine', None)]"
,,After Five,,Pour in layers the coffee liqueur then the Irish cream and finally the peppermint schnapps in a shot glass.,"[(u'1/2', u'Coffee Liqueur', 'oz.'), (u'1/2', u'Irish Cream', 'oz.'), (u'1/2', u'Peppermint Schnapps', 'oz.')]"
,,Agua De Horchata,,Soak rice in 3 cups of water for a couple of hours. Crumble cinnamon and toast it on a small skillet. Strain the rice and blend it with the cinnamon and milk. Strain mixture into a pitcher and dilute it with 4 cups of water. Add sugar to taste.,"[(None, u'2 Cups of  Long-Grain White Rice', None), (None, u'7 Cups of  Water', None), (None, u'2 Cups of  Milk', None), (None, u'2  Cinnamon Sticks', None), (None, u'1 Cup of  Sugar', None)]"
,,Afternoon Delight,,Pour all ingredients into a shaker with ice. Shake and strain into a chilled martini glass.,"[(u'1 1/2', u'Vanilla Vodka', 'oz.'), (u'3/4', u'White Chocolate Liqueur', 'oz.'), (u'3/4', u'Triple Sec', 'oz.')]"
,,Agent Orange,,Pour vodka and Grand Marnier into a glass with ice. Fill it with orange juice.,"[(u'1 1/2', u'Vodka', 'oz.'), (u'1/2', u'Grand Marnier\xae Orange Liqueur', 'oz.'), (None, u'  Orange Juice', None)]"
,,After Dinner Cocktail,,Pour all ingredients into a shaker with ice. Shake and strain into a chilled martini glass.,"[(u'1', u'Apricot Brandy', 'oz.'), (u'1', u'Triple Sec', 'oz.'), (u'1/2', u'Lime Juice', 'oz.')]"
,,Affinity Cocktail,,Pour all ingredients into a shaker with ice. Shake and strain into a chilled martini glass.,"[(u'1', u'Scotch Whisky', 'oz.'), (u'1', u'Vermouth (Dry)', 'oz.'), (u'1', u'Vermouth (Sweet)', 'oz.'), (None, u'3 Dashes of  Orange Bitters', None)]"
,,Adonis Cocktail,,Pour all ingredients into a shaker with ice. Shake and strain into a chilled martini glass.,"[(u'2', u'Sherry (Dry)', 'oz.'), (u'1', u'Vermouth (Sweet)', 'oz.'), (None, u'Dash of  Orange Bitters', None)]"
,,Affair,,Pour strawberry schnapps into a glass with ice. Fill it with equal parts of orange juice and cranberry juice.,"[(u'2', u'Strawberry Liqueur', 'oz.'), (None, u'  Orange Juice', None), (None, u'  Cranberry Juice', None)]"
,,Adam,,Pour all ingredients into a shaker with ice. Shake and strain into a chilled martini glass.,"[(u'2', u'Rum (Dark)', 'oz.'), (u'1', u'Lemon Juice', 'oz.'), (None, u'Splash of  Grenadine', None)]"
,,Adios Mother Fucker (A.M.F.),,"Pour the vodka, gin, rum, and triple sec into a glass with ice. Fill with sweet and sour and add the float of Blue Curacao.","[(u'1/2', u'Vodka', 'oz.'), (u'1/2', u'Gin', 'oz.'), (u'1/2', u'Rum (Light)', 'oz.'), (u'1/2', u'Triple Sec', 'oz.'), (None, u'  Sweet & Sour Mix', None), (None, u'Float of  Blue Curacao', None)]"
,,Acid Cookie,,Pour all ingredients into a shaker with ice. Shake and strain into a shot glass.,"[(u'1/2', u'Peppermint Schnapps', 'oz.'), (u'1/2', u'Irish Cream', 'oz.'), (u'1/2', u'Butterscotch Schnapps', 'oz.'), (u'1/2', u'Rum (151-Proof)', 'oz.'), (None, u'Splash of  Cream / Half & Half', None)]"
,,Adam And Eve,,Pour all ingredients into a shaker with ice. Shake and strain into a chilled martini glass.,"[(u'1', u'Gin', 'oz.'), (u'1', u'Brandy', 'oz.'), (u'1', u'Forbidden Fruit\xae Liqueur', 'oz.'), (None, u'Splash of  Lemon Juice', None)]"
